,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
6904,2014,Fine And Applied Arts,Architectural Studies,436.0,196.0,240.0,193.0,49.0,16.0,46.0,0.0,1.22
6897,2014,Fine And Applied Arts,Nondegree,228.0,52.0,176.0,44.0,3.0,3.0,4.0,1.0,3.38
6834,2014,Fine And Applied Arts,Nondegree,136.0,60.0,76.0,81.0,0.0,1.0,3.0,1.0,1.27
6912,2014,Fine And Applied Arts,Graphic Design,81.0,62.0,19.0,54.0,13.0,1.0,3.0,0.0,0.31
6854,2014,Fine And Applied Arts,Nondegree,73.0,22.0,51.0,0.0,0.0,1.0,0.0,0.0,2.32
6911,2014,Fine And Applied Arts,Dance,70.0,55.0,15.0,46.0,4.0,12.0,3.0,0.0,0.27
6914,2014,Fine And Applied Arts,Industrial Design,113.0,59.0,54.0,45.0,24.0,5.0,6.0,0.0,0.92
6990,2014,Fine And Applied Arts,Nondegree,211.0,102.0,109.0,70.0,15.0,1.0,9.0,0.0,1.07
7027,2014,Fine And Applied Arts,Nondegree,20.0,10.0,10.0,6.0,0.0,1.0,1.0,0.0,1.0
6931,2014,Fine And Applied Arts,Urban Planning,134.0,73.0,61.0,57.0,8.0,9.0,12.0,0.0,0.84
6934,2014,Fine And Applied Arts,Nondegree,42.0,16.0,26.0,31.0,1.0,2.0,0.0,0.0,1.62
6932,2014,Fine And Applied Arts,Voice,24.0,18.0,6.0,16.0,2.0,2.0,2.0,0.0,0.33
6930,2014,Fine And Applied Arts,Theatre,167.0,86.0,81.0,125.0,2.0,13.0,16.0,1.0,0.94
6926,2014,Fine And Applied Arts,Painting,21.0,17.0,4.0,13.0,3.0,2.0,0.0,0.0,0.24
6924,2014,Fine And Applied Arts,Nondegree,24.0,15.0,9.0,3.0,0.0,1.0,0.0,0.0,0.6
6920,2014,Fine And Applied Arts,Music Education,175.0,100.0,75.0,140.0,8.0,5.0,13.0,0.0,0.75
6918,2014,Fine And Applied Arts,Music,342.0,175.0,167.0,150.0,18.0,8.0,17.0,1.0,0.95
6917,2014,Fine And Applied Arts,Landscape Architecture,120.0,74.0,46.0,43.0,7.0,1.0,6.0,0.0,0.62
6916,2014,Fine And Applied Arts,Jazz Performance,27.0,3.0,24.0,18.0,0.0,5.0,0.0,0.0,8.0
6915,2014,Fine And Applied Arts,Instrumental Music,71.0,38.0,33.0,46.0,7.0,2.0,5.0,1.0,0.87
6688,2013,Fine And Applied Arts,Art And Design,40.0,30.0,10.0,26.0,0.0,0.0,2.0,0.0,0.33
6685,2013,Fine And Applied Arts,Art Education,63.0,48.0,15.0,42.0,4.0,2.0,6.0,0.0,0.31
6684,2013,Fine And Applied Arts,Architecture,178.0,65.0,113.0,98.0,14.0,4.0,12.0,0.0,1.74
6683,2013,Fine And Applied Arts,Architectural Studies,444.0,197.0,247.0,225.0,46.0,13.0,38.0,1.0,1.25
