,Fall,College,Major_Name,Total,Female,Male,Caucasian,Asian American,African American,Hispanic,Native American,M/F
5996,2010,Engineering,Aerospace Engineering,526,70,456,312,64,8,21,4,6.52
6005,2010,Engineering,Electrical Engineering,1024,116,906,333,226,20,47,1,7.82
6004,2010,Engineering,Electrical & Computer Engr,504,68,436,152,49,6,14,0,6.42
6014,2010,Engineering,Mechanical Engineering,1092,112,978,618,112,15,38,2,8.74
6006,2010,Engineering,Engineering Mechanics,135,20,115,82,17,1,6,0,5.75
6017,2010,Engineering,"Nuclear, Plasma, Radiolgc Engr ",118,19,99,73,12,0,7,0,5.22
6021,2010,Engineering,Theoretical & Applied Mechans,45,8,37,21,0,0,2,0,4.63
6007,2010,Engineering,Engineering Physics,143,16,127,96,17,0,4,0,7.94
6013,2010,Engineering,Materials Science & Engr,466,106,360,221,75,3,11,1,3.4
6012,2010,Engineering,Industrial Engineering,201,56,145,68,22,4,7,0,2.59
6010,2010,Engineering,Financial Engineering,26,5,21,2,3,0,0,0,4.2
6008,2010,Engineering,Environ Engr In Civil Engr,84,44,40,28,4,0,6,0,0.91
5785,2009,Engineering,Aerospace Engineering,507,64,443,313,70,10,19,4,6.93
5793,2009,Engineering,Electrical & Computer Engr,513,67,446,157,44,9,11,0,6.66
5792,2009,Engineering,Computer Science,1035,121,914,434,154,10,15,1,7.56
5791,2009,Engineering,Computer Engineering,469,45,423,228,90,17,24,0,9.4
5790,2009,Engineering,Civil Engineering,1090,272,816,668,87,27,43,1,3
5788,2009,Engineering,Bioengineering,178,73,105,105,38,1,4,1,1.44
5795,2009,Engineering,Engineering Mechanics,106,17,89,66,15,0,5,0,5.24
5794,2009,Engineering,Electrical Engineering,945,107,837,337,222,21,45,1,7.83
5796,2009,Engineering,Engineering Physics,139,14,125,101,17,2,5,0,8.93
5808,2009,Engineering,Theoretical & Applied Mechans,46,7,39,18,1,0,2,0,5.58
5797,2009,Engineering,Environ Engr In Civil Engr,80,40,40,31,6,0,5,0,1
5805,2009,Engineering,"Nuclear, Plasma, Radiolgc Engr ",102,19,83,64,8,1,4,0,4.37
5802,2009,Engineering,Mechanical Engineering,1052,114,936,638,106,21,38,1,8.22
5801,2009,Engineering,Materials Science & Engr,463,119,344,236,68,5,9,1,2.9
5800,2009,Engineering,Industrial Engineering,159,47,112,51,17,5,6,0,2.39
